year,university_id,university_name,offer_count,degree_level,source_name,source_kind,source_snapshot,source_url,filters_json,notes,mainland_school_id,applicant_count,enrolled_count
2026,new-york-university,New York University,881,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":49,""sourceSchoolId"":1608,""title"":""纽约大学"",""titleEn"":""New York University"",""allStu"":881,""cnStu"":881,""outStu"":0}]}",allStu=881; cnStu=881; outStu=0,,,
2026,university-of-north-carolina-at-chapel-hill,University of North Carolina at Chapel Hill,866,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":26,""sourceSchoolId"":1603,""title"":""北卡罗来纳州大学教堂山分校"",""titleEn"":""University of North Carolina at Chapel Hill"",""allStu"":866,""cnStu"":866,""outStu"":0}]}",allStu=866; cnStu=866; outStu=0,,,
2026,mcgill-university,McGill University,862,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":167,""sourceSchoolId"":3399,""title"":""麦吉尔大学"",""titleEn"":""McGill University"",""allStu"":862,""cnStu"":862,""outStu"":0}]}",allStu=862; cnStu=862; outStu=0,,,
2026,university-of-california-merced,"University of California, Merced",824,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":94,""sourceSchoolId"":2411,""title"":""加州大学默塞德分校"",""titleEn"":""University of California, Merced"",""allStu"":824,""cnStu"":824,""outStu"":0}]}",allStu=824; cnStu=824; outStu=0,,,
2026,university-of-southern-california,University of Southern California,824,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":28,""sourceSchoolId"":1597,""title"":""南加州大学"",""titleEn"":""University of Southern California"",""allStu"":824,""cnStu"":824,""outStu"":0}]}",allStu=824; cnStu=824; outStu=0,,,
2026,the-chinese-university-of-hong-kong,The Chinese University of Hong Kong,813,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":155,""sourceSchoolId"":10281,""title"":""香港中文大学"",""titleEn"":""The Chinese University of Hong Kong"",""allStu"":813,""cnStu"":813,""outStu"":0}]}",allStu=813; cnStu=813; outStu=0,,,
2026,university-of-california-riverside,"University of California, Riverside",696,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":116,""sourceSchoolId"":1806,""title"":""加州大学河滨分校"",""titleEn"":""University of California, Riverside"",""allStu"":696,""cnStu"":696,""outStu"":0}]}",allStu=696; cnStu=696; outStu=0,,,
2026,michigan-state-university,Michigan State University,665,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":101,""sourceSchoolId"":1660,""title"":""密歇根州立大学"",""titleEn"":""Michigan State University"",""allStu"":665,""cnStu"":665,""outStu"":0}]}",allStu=665; cnStu=665; outStu=0,,,
2026,university-of-new-south-wales,The University of New South Wales,618,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":647,""sourceSchoolId"":12599,""title"":""新南威尔士大学"",""titleEn"":""The University of New South Wales"",""allStu"":618,""cnStu"":618,""outStu"":0}]}",allStu=618; cnStu=618; outStu=0,,,
2026,university-of-california-santa-cruz,"University of California, Santa Cruz",615,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":129,""sourceSchoolId"":1703,""title"":""加州大学圣克鲁兹校区"",""titleEn"":""University of California, Santa Cruz"",""allStu"":615,""cnStu"":615,""outStu"":0}]}",allStu=615; cnStu=615; outStu=0,,,
